State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"55,158","66,987","67,157","62,551","75,510","80,861","74,197","77,486","93,744","92,046","96,901","97,500","101,260","106,278","108,613","105,705","106,205","100,443","102,527","97,106","89,848","98,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"86,905","76,311","83,970","81,051","77,520","82,849","118,986","143,207","178,702","144,778","186,609","218,877","216,418","231,668","242,682","237,474","264,117","260,442","272,193","262,990","237,571","248,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"6,658","4,669","3,720","3,676","3,639","5,391","5,061","6,539","7,635","7,108","8,090","9,627","10,023","10,907","11,185","14,999","16,556","16,045","16,879","17,840","16,269","15,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"109,264","84,593","72,645","92,064","101,183","116,524","118,695","122,029","129,287","128,594","127,061","121,982","122,117","138,197","155,898","155,759","151,006","150,998","157,833","144,528","136,500","143,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"8,773","8,044","11,230","12,218","9,990","12,224","12,622","12,457","13,909","19,457","21,407","18,657","16,557","21,134","20,763","26,814","24,707","24,286","27,044","25,721","23,307","24,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"92,090","94,803","93,639","101,419","94,563","88,946","112,653","90,416","96,149","106,097","126,209","125,648","121,432","128,945","130,961","140,355","149,698","144,865","144,912","147,193","129,421","132,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"95,095","106,139","84,542","98,278","87,455","126,407","122,757","125,458","138,650","129,045","154,160","153,143","147,797","154,023","155,692","162,766","159,324","157,696","164,881","160,588","140,351","139,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"5,621","5,286","5,251","5,750","5,897","12,677","11,509","12,758","17,359","27,520","29,639","28,625","25,431","31,139","31,440","19,150","19,415","19,027","20,488","19,788","17,204","19,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"1,516","1,128","1,115","1,202","1,203","3,289","2,982","3,645","4,188","3,280","3,687","4,436","4,728","5,052","5,172","8,604","8,306","8,586","8,400","8,867","8,328","7,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"3,008,229","2,626,720","2,700,621","2,806,475","3,008,074","3,112,387","3,262,140","3,484,824","3,851,392","3,939,989","4,505,629","4,616,493","4,516,952","4,861,035","5,015,522","5,014,887","5,063,053","5,044,599","5,104,513","5,056,000","4,640,247","4,845,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
